Path;File;Type;Filter;Score;dX;dY;Angle;Date/Time;Size;CFA;Depth;Info;ISO/Gain;Exposure;Aperture;FWHM;#Stars;Sky Background
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6420.JPG;Light;;27717.42;9.79;4.86;-0.01°;11/02/2021 21:52;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;4.03;3969;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6471.JPG;Light;;27504.41;65.38;-85.33;0.13°;11/02/2021 22:12;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.86;3828;58.99 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6422.JPG;Light;;33913.65;0.60;2.37;-0.00°;11/02/2021 21:53;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.65;4597;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6444.JPG;Light;;29897.53;66.14;-100.45;0.08°;11/02/2021 22:02;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;3.66;4077;59.96 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6515.JPG;Light;;21555.50;87.44;-55.51;0.19°;11/02/2021 22:28;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.17;3312;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6479.JPG;Light;;24585.92;68.25;-79.87;0.13°;11/02/2021 22:15;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.6 s ;0.0;4.03;3584;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6490.JPG;Light;;27966.08;78.64;-72.09;0.16°;11/02/2021 22:19;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.01;3934;58.20 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6492.JPG;Light;;29999.44;71.24;-73.55;0.16°;11/02/2021 22:19;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.81;4159;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6496.JPG;Light;;29566.22;71.78;-71.16;0.17°;11/02/2021 22:21;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.76;4100;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6498.JPG;Light;;20940.48;81.65;-66.20;0.16°;11/02/2021 22:21;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.15;3060;58.20 %
